"101806811","Cash","Cash","24240","2015-01-18 00:00:00","N,"N,"Cash","Cash","N,"839 Ledner Causeway","Braintree","VT","US","26949-4847","(262) 276-5184","N
"103990284","Cash","Cash","68945","2012-09-01 13:32:00","Active","Helen Carter","Cash","Commercial","2012-05-19 00:00:00","1206 Amber Pathway","Skookumchuck"," DE","US","19899-9964","(505) 555-9827","(505) 555-9827"
"10429135","Cash","Cash","98053","2014-02-17 00:00:00","N,"N,"Cash","Cash","N,"798 Jamaal Avenue","Braintree","VT","US","70658-2722","(812) 980-4923","N
"106368781","Credit Card","mastercard","93521","2012-10-05 00:00:00","N,"N,"Kenneth Wolff MD","Personal","N,"97320 Allison Valleys","Braintree","VT","US","42809-5504","(847) 774-0021","N
"108618028","Checking","Full","65542","2013-11-29 00:00:00","N,"N,"Zora White","Personal","N,"297 Carole Dam","Braintree","VT","US","25960","(209) 702-7285","N
"11102606","Checking","Basic","32079","2015-01-13 00:00:00","N,"N,"Maia Brown","Personal","N,"421 Beatty Junctions","Braintree","VT","US","62550-9619","(540) 586-6183","N
"112105969","Checking","N,"36258","N,"N,"N,"Olson Inc Outdoors","Commercial","N,"N,"West Wymanport","VT","US","N,"N,"N
"112324116","Checking","Basic","46264","2013-09-06 00:00:00","N,"N,"Madisen Konopelski MD","Personal","N,"30788 McGlynn Causeway","Braintree","VT","US","20486","(856) 978-5666 x9778","N
"112827796","Line of Credit","Student","14562","2013-03-28 00:00:00","N,"N,"Hipolito Kuvalis","Personal","N,"21303 Haley Pines","Braintree","VT","US","63151-5341","(251) 975-9330 x2824","N
"113192200","Line of Credit","Business","78863","2012-09-10 00:00:00","N,"N,"Bernard Crona DDS","Personal","N,"2581 Arianna Prairie","Braintree","VT","US","87703","(865) 309-8764","N
"114360791","Checking","Full","38076","2014-08-28 00:00:00","N,"N,"Benjamin Hodkiewicz","Personal","N,"344 Glover Orchard","Braintree","VT","US","49092-6120","(843) 719-0739 x2201","N
"114596830","Checking","N,"32735","N,"N,"N,"Glover-Deckow Outdoors","Commercial","N,"N,"Loweton","VT","US","N,"N,"N
"114934071","Checking","N,"79714","N,"N,"N,"Keebler and Sons","Commercial","N,"N,"North Asafurt","VT","US","N,"N,"N
"115206839","Savings","Basic","96263","2014-06-13 00:00:00","N,"N,"Cassandre Nitzsche","Personal","N,"839 Ledner Causeway","Braintree","VT","US","26949-4847","(262) 276-5184","N
"122163041","Cash","Cash","37602","2013-01-16 00:00:00","N,"N,"Cash","Cash","N,"96244 Schamberger Plaza","Braintree","VT","US","73363-2318","(309) 959-6135 x2248","N
"123675385","Cash","Cash","28585","2013-04-26 00:00:00","N,"N,"Cash","Cash","N,"445 Nick Court","Braintree","VT","US","90877-1714","(985) 407-5115 x9490","N
"123974347","Checking","N,"55428","N,"N,"N,"Walsh-Boyle Industrial","Commercial","N,"N,"Gleichnerland","RI","US","N,"N,"N
"124870487","Checking","N,"72523","N,"N,"N,"Steuber-Bruen Baby","Commercial","N,"N,"West Kaylahport","VT","US","N,"N,"N
"125714777","Checking","N,"37882","N,"N,"N,"Reynolds Group","Commercial","N,"N,"Lake Tryciaberg","VA","US","N,"N,"N
